LSOA11CD,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13
E01000093,-0.98259755,-0.436840597,0.074663446,-0.69339427,-0.55105906,-0.419473405,-0.706456693,-0.300463775,-0.572391613,-0.001563369,-0.066078399,0.015717304,-0.43680482
E01000092,-0.998685596,-0.296269338,0.029265216,-0.588957649,-0.264641526,-0.537601686,-0.539600024,-0.028155532,-0.630277362,-0.09690061,0.064767089,-0.228279006,-0.246459253
E01000013,-0.998697879,-0.557565471,-0.124796363,-0.593789092,-0.438752553,-0.545439711,-0.743325511,-0.309575183,-0.699340043,-0.078141607,-0.020319374,-0.083350719,-0.426555417
E01000091,-0.99826381,-0.537703516,0.115101606,-0.561407657,-0.527925011,-0.422306987,-0.810719108,-0.315720075,-0.543283809,-0.04029709,-0.039376308,0.02870844,-0.396979928
E01000010,-0.990462044,0.161795967,-0.06422597,-0.565941499,0.124310122,-0.696748146,-0.534255923,-0.018270092,-0.600056346,0.040737934,-0.03685119,-0.160888598,-0.494950365
E01000011,-0.998774539,-0.195932955,0.043633006,-0.320418762,0.647455167,-0.835694205,-0.725346222,-0.142460005,-0.466821427,0.097552969,-0.066510418,-0.011181596,-0.260902916
E01000090,-0.998788471,-0.514454081,-0.162129129,-0.642490279,-0.271377602,-0.501525667,-0.736036367,-0.299776255,-0.69678028,-0.023370819,-0.028084678,-0.114050564,-0.331130905
E01000099,-0.99860562,-0.598675121,-0.182521706,-0.642418654,-0.399071138,-0.614925107,-0.674358757,-0.221081421,-0.694309494,-0.156911155,-0.017972145,-0.106771115,-0.323212327
E01000018,-0.998655637,-0.641063642,-0.161895571,-0.632503917,-0.475767112,-0.552341914,-0.747912089,-0.306336383,-0.701655298,-0.129340666,-0.029325053,0.043347634,-0.394073945
E01000019,-0.998842606,-0.549892232,-0.10754769,-0.533008706,-0.2351602,-0.587957897,-0.755458045,-0.324662379,-0.698108988,-0.047373859,0.016780874,-0.104947183,-0.276905001
E01000098,-0.982609918,-0.513658906,-0.070832833,-0.56776141,-0.305702536,-0.589969674,-0.711947765,-0.282999143,-0.7061168,-0.049446711,0.001652193,-0.162950579,-0.428353424
E01000106,-0.987659426,-0.44897559,-0.070297208,-0.676355558,-0.560463729,-0.426559611,-0.675862679,-0.264620978,-0.707966652,-0.098849234,0.013211544,-0.056317383,-0.446968074
E01000107,-0.998446681,-0.699208349,-0.26444692,-0.507307007,-0.429890079,-0.411251112,-0.736655888,-0.258830704,-0.676062864,-0.137573773,-0.011702149,-0.089738202,-0.384179363
E01000104,-0.998533767,-0.551058321,-0.052915159,-0.705798284,-0.624460745,-0.362372267,-0.623696417,-0.130577856,-0.703883835,-0.174923936,-0.015533429,-0.010621856,-0.444396995
E01000105,-0.998271888,-0.502116029,-0.044505428,-0.732873831,-0.582829107,-0.479529875,-0.652724321,-0.154124189,-0.594698139,-0.222702011,0.019641427,-0.120689109,-0.469552231
E01000102,-0.998534859,-0.570317202,-0.186493772,-0.634066394,-0.516434896,-0.531035114,-0.721199751,-0.327978014,-0.660337876,-0.065539776,-0.070783118,-0.021023806,-0.34566956
E01000103,-0.998718626,-0.54536809,-0.117115998,-0.687434431,-0.464718639,-0.446556735,-0.716476617,-0.283638355,-0.693680245,-0.130206252,-0.009041153,-0.024474584,-0.381562114
E01000100,-0.998360022,-0.643550318,-0.136915703,-0.593824532,-0.411835622,-0.576252195,-0.721876892,-0.39347111,-0.57927717,-0.093342376,-0.05394747,-0.07545245,-0.323472599
E01000101,-0.998599837,-0.601134786,-0.154728816,-0.592153293,-0.437814669,-0.552592516,-0.773262558,-0.367440033,-0.674809008,-0.112487874,-0.042342469,-0.052543602,-0.408131698
E01000108,-0.998730572,-0.541441776,-0.219085338,-0.576455367,-0.46515615,-0.515466551,-0.557055998,-0.354732154,-0.706071003,-0.10652607,-0.031891125,-0.214818051,-0.431011039
E01000109,-0.998447461,-0.621070443,-0.167404553,-0.580777155,-0.359978272,-0.66226351,-0.626516637,-0.300825362,-0.591361345,-0.069220893,-0.140199955,-0.114543532,-0.393802823
E01000066,-0.998754279,-0.442295748,0.001576003,-0.254334555,-0.22111888,-0.516951771,-0.711202028,-0.301817195,-0.618803583,-0.076507745,-0.186906631,-0.059268046,-0.391156442
E01000067,-0.999059402,-0.385025665,0.044457988,-0.080216979,-0.328906695,-0.572848101,-0.696396639,-0.320285249,-0.688804307,-0.111866563,-0.091082851,-0.122537226,-0.313420838
E01000064,-0.998200164,-0.596522768,-0.15030259,-0.641988587,-0.501683754,-0.510649716,-0.658329827,-0.359642175,-0.561984516,-0.11388695,0.046532639,-0.105446785,-0.411665018
E01000065,-0.998388895,-0.523856792,-0.157225092,-0.639929299,-0.47545643,-0.485385389,-0.756989417,-0.350858119,-0.62208314,-0.07278828,0.04593266,0.017822048,-0.356909805
E01000062,-0.998632944,-0.600955763,-0.157725176,-0.594466222,-0.50570161,-0.528733685,-0.677092573,-0.313995013,-0.703756929,-0.108323891,-0.010879305,-0.029807979,-0.355983695
E01000063,-0.998676413,-0.665558444,-0.181419494,-0.59825969,-0.474212783,-0.564752326,-0.679916149,-0.352238794,-0.718180658,-0.10913215,-0.107519362,-0.031559832,-0.390589646
E01000060,-0.998370904,-0.597021722,-0.122382788,-0.677301801,-0.505359625,-0.438751996,-0.648686536,-0.245697234,-0.655306417,-0.189540689,-0.006682384,-0.014459215,-0.413338615
E01000061,-0.998651708,-0.46176737,0.028039312,-0.746571509,-0.65933656,-0.346739168,-0.796955211,-0.248828612,-0.722928782,-0.113623576,0.015637084,0.166442862,-0.452932408
E01000068,-0.999132924,-0.432694818,-0.027625703,-0.128423264,0.171664003,-0.760296141,-0.749047303,-0.231737006,-0.676615418,-0.061069015,-0.165076889,-0.132540761,-0.285171312
E01000069,-0.999229683,-0.452451763,-0.007583584,0.00879201,-0.335871855,-0.675083367,-0.717249736,-0.303365901,-0.705288183,-0.164868034,-0.251561161,-0.167044396,-0.348816187
E01000046,-0.998649576,-0.589710994,-0.149773378,-0.642398342,-0.448620988,-0.521817914,-0.583526019,-0.244017223,-0.701937656,-0.172983144,-0.078511746,-0.124862953,-0.33552418
E01000044,-0.998753151,-0.402436478,-0.060995443,-0.604045837,-0.084526978,-0.643653494,-0.789522403,-0.125493643,-0.594052813,-0.026478416,-0.10321354,-0.047577614,-0.340413417
E01000045,-0.99879662,-0.501915092,-0.104512384,-0.678897703,-0.475430175,-0.55222098,-0.71450447,-0.192073459,-0.711663678,-0.03419606,-0.057536926,-0.058953729,-0.357632769
E01000042,-0.983850449,-0.367521754,0.017647443,-0.518777328,-0.444544978,-0.435099925,-0.805573885,-0.249156581,-0.696733532,-0.083145076,-0.015804407,-0.005299625,-0.382022573
E01000043,-0.998511798,-0.580771705,0.009126156,-0.344381474,-0.336383816,-0.489987411,-0.774225383,-0.35393835,-0.587477434,-0.145774572,-0.148204337,0.00518245,-0.402941935
E01000040,-0.998829712,-0.481767726,-0.036216667,-0.561120111,-0.387735871,-0.522463738,-0.810827454,-0.301953915,-0.706315045,-0.109355749,-0.052723672,-0.106144241,-0.4628524
E01000041,-0.998734021,-0.537936698,-0.127785866,-0.616725695,-0.446355481,-0.561437937,-0.768341544,-0.301418518,-0.69435017,-0.125669315,-0.016006495,0.013094383,-0.342618131
E01000048,-0.999045048,-0.281218389,0.205365339,-0.79195459,-0.455048,-0.276988394,-0.864235863,-0.246140431,-0.735193041,-0.015690699,0.019468477,0.208966273,-0.426930264
E01000049,-0.982522576,-0.334337125,0.186264416,-0.792390586,-0.417643767,-0.210535841,-0.661154823,-0.200065184,-0.599615464,-0.02280012,-0.101861109,0.143255689,-0.398810145
E01000027,-0.998546148,-0.69229524,-0.15898437,-0.650382807,-0.521746974,-0.469577802,-0.738329007,-0.237690707,-0.696497116,-0.140331626,-0.030091384,-0.106335436,-0.366994808
E01000024,-0.998436458,-0.602266513,-0.050605102,-0.626022931,-0.335481952,-0.559742514,-0.729488803,-0.34939597,-0.590091592,-0.03362821,-0.067759566,0.029561663,-0.355490875
E01000025,-0.998611257,-0.561235279,-0.118994372,-0.595055473,-0.474713365,-0.592203033,-0.682363785,-0.170093066,-0.663529774,-0.187055355,-0.071946028,-0.06050282,-0.366443312
E01000022,-0.998569944,-0.543557032,-0.094607387,-0.661241457,-0.447379755,-0.510455715,-0.555359109,-0.067856205,-0.684354872,-0.271224745,0.047105245,-0.059267659,-0.34813082
E01000023,-0.998472984,-0.212161022,-0.155725611,-0.593852929,-0.295452059,-0.479189546,-0.545414084,-0.211006762,-0.563777007,-0.121220372,0.05838312,0.084243375,-0.464177084
E01000020,-0.998703097,-0.529447449,-0.172284892,-0.590016729,-0.408064277,-0.541697475,-0.672556851,-0.244456366,-0.690485282,-0.169184932,-0.024793775,-0.115954665,-0.371824641
E01000021,-0.998861363,-0.339195916,-0.097508058,-0.640325355,-0.169921012,-0.614024403,-0.620121855,-0.257114059,-0.681869641,-0.092997023,0.116883746,-0.363932557,-0.581070364
E01000028,-0.998735269,-0.458924255,-0.053233745,-0.642355151,-0.430219149,-0.355269192,-0.722073128,-0.300125526,-0.70969389,-0.092236224,0.024180669,0.013824106,-0.396428443
E01000029,-0.998577495,-0.62994514,-0.32292433,-0.456838817,-0.342291922,-0.480704284,-0.737624733,-0.355129634,-0.671216675,-0.203381478,-0.085711536,-0.113521786,-0.38390777
E01000087,-0.998585892,-0.564387206,-0.113706846,-0.661465721,-0.517330781,-0.570584119,-0.66502511,-0.223622955,-0.690131542,-0.180521126,0.079971188,-0.193631727,-0.47857089
E01000006,-0.998906132,-0.333967172,-0.086874975,-0.423940689,0.320844591,-0.847722923,-0.76477307,-0.172537084,-0.575837656,0.052038126,-0.118864647,-0.030989914,-0.247960488
E01000086,-0.998358608,-0.589748843,-0.100298434,-0.613813223,-0.532631041,-0.513890591,-0.733661019,-0.256563066,-0.604642852,-0.143284778,-0.059419847,0.126572308,-0.412046464
E01000007,-0.999091299,-0.003133748,0.029560328,-0.615494055,-0.082670079,-0.557126364,-0.556887809,-0.065124598,-0.669634115,0.050376009,0.081544482,-0.105105373,-0.237529269
E01000085,-0.998571645,-0.509932992,-0.076686335,-0.695484526,-0.446643313,-0.477572296,-0.751809998,-0.378868404,-0.648201289,-0.075353566,0.043689593,-0.066701988,-0.486364615
E01000084,-0.998675673,-0.584433618,-0.074177284,-0.59931801,-0.504091513,-0.548474399,-0.714360578,-0.346493125,-0.706174291,-0.072167538,-0.004276716,-0.013889032,-0.406331608
E01000083,-0.998427329,-0.640925209,-0.112497411,-0.654374179,-0.44664083,-0.573366733,-0.73073687,-0.317700375,-0.618069081,-0.076858951,-0.087058657,-0.083654784,-0.339542112
E01000082,-0.998265498,-0.554961501,-0.074524765,-0.656831933,-0.571477246,-0.543194384,-0.542445896,-0.090371446,-0.591583738,-0.280302703,-0.043884566,-0.147464406,-0.40462806
E01000081,-0.998362698,-0.67475146,-0.121348693,-0.654408606,-0.480050013,-0.593072156,-0.734009065,-0.337653299,-0.608526106,-0.110465156,-0.054248402,-0.035567176,-0.365516006
E01000080,-0.981454912,-0.606206015,-0.133584438,-0.656346737,-0.484504463,-0.500658394,-0.767462965,-0.320999629,-0.682075871,-0.096935185,-0.038953986,-0.015113923,-0.373877135
E01000089,-0.935203833,-0.548465444,-0.167449795,-0.679261274,-0.470442968,-0.588216906,-0.705947185,-0.29254305,-0.730511649,-0.056523403,-0.116404119,-0.123766265,-0.328646155
E01000008,-0.999062212,-0.237663603,0.225862005,-0.639846751,-0.29387917,-0.299581998,-0.861422964,-0.231068576,-0.722747858,-0.008551662,-0.047552478,0.12551339,-0.40170053
E01000088,-0.998815276,-0.495070841,-0.136687663,-0.590238047,-0.411871401,-0.587692967,-0.758643917,-0.196293831,-0.686484226,-0.099416821,-0.047901976,-0.068657421,-0.371700523
E01000009,-0.999256796,-0.109180548,-0.066713782,-0.412252038,0.487752965,-0.830603327,-0.689026561,-0.104447685,-0.6607426,0.107328633,-0.021110072,-0.08720262,-0.31037859
E01000114,-0.998649082,-0.563872802,-0.146981128,-0.566198366,-0.365836224,-0.615926357,-0.591635224,-0.246421245,-0.660187296,-0.071822283,-0.044688302,-0.320582807,-0.432038941
E01000112,-0.998693715,-0.37814869,-0.186429941,-0.567581464,-0.199397839,-0.6935678,-0.509127021,-0.15150762,-0.611268059,-0.082589208,-0.138778688,-0.247299401,-0.420442311
E01000113,-0.999092656,-0.401150894,-0.202649304,-0.518353755,-0.147899078,-0.711068317,-0.648372556,-0.223699805,-0.700869091,-0.078990458,-0.143389671,-0.228769355,-0.411227921
E01000110,-0.99890668,-0.527493426,-0.254390398,-0.417018139,-0.353629592,-0.622852659,-0.728724201,-0.181353368,-0.695503759,-0.132627721,-0.136018946,-0.126710418,-0.34013169
E01000111,-0.998708157,-0.519827456,-0.138407928,-0.516268273,-0.446594043,-0.526787132,-0.692217876,-0.27668299,-0.683144063,-0.066478442,-0.066444632,-0.075164495,-0.34576566
E01000076,-0.998623681,-0.588164129,-0.063278179,-0.630265135,-0.382361679,-0.541421079,-0.738040326,-0.300004357,-0.690913067,-0.061430145,0.065870043,-0.003096895,-0.33646854
E01000077,-0.998601947,-0.563550295,-0.146180349,-0.624066987,-0.343903409,-0.572276919,-0.680721943,-0.361760176,-0.659207062,-0.090112172,0.045661757,-0.121557562,-0.435925037
E01000074,-0.982541426,-0.608355242,-0.147516407,-0.671440597,-0.528218991,-0.483955527,-0.751278814,-0.324367048,-0.724131496,-0.111986804,-0.085611327,-0.01390299,-0.39866656
E01000075,-0.998582224,-0.645803839,-0.213865714,-0.588639528,-0.439124236,-0.532585611,-0.662410327,-0.341006759,-0.702261957,-0.101549636,0.004876979,-0.102204281,-0.389163187
E01000072,-0.998545152,-0.555906343,-0.06465437,-0.647519386,-0.510479835,-0.524847092,-0.640005931,-0.210565051,-0.671170836,-0.187167235,0.008301371,-0.223492748,-0.454147313
E01000073,-0.998626381,-0.601083732,-0.154154456,-0.601725318,-0.398833273,-0.512825776,-0.761924028,-0.352862504,-0.691953662,-0.103637894,0.025769431,-0.005983189,-0.362982619
E01000070,-0.999140006,-0.369186439,-0.104731055,-0.241446474,-0.087038868,-0.66545544,-0.781264026,-0.237620919,-0.694358818,-0.089386718,-0.188517172,-0.183024432,-0.457244129
E01000071,-0.99921804,-0.296066074,0.07212149,-0.121404684,-0.240390911,-0.564750366,-0.727379079,-0.226229181,-0.685115969,-0.115876446,-0.162644093,-0.217055101,-0.324839761
E01000078,-0.998541326,-0.505820798,-0.162302707,-0.655412619,-0.400266998,-0.518635163,-0.599246363,-0.370908983,-0.648320493,-0.035903144,0.040747043,-0.017491551,-0.370311494
E01000079,-0.981972004,-0.574264005,-0.156169401,-0.584268289,-0.476093161,-0.533565054,-0.660415715,-0.302804666,-0.694941294,-0.107983934,0.027483114,-0.028720889,-0.310963867
E01000306,-0.99907294,-0.135416061,-0.308444728,-0.602487412,0.233481843,-0.576910436,-0.594731835,-0.167994797,-0.657968376,-0.203759427,-0.272215559,0.113477553,-0.44282374
E01000307,-0.998883258,-0.325788528,-0.281525741,-0.613431112,0.131242297,-0.435511043,-0.676797096,-0.295370333,-0.671972251,-0.150198594,-0.200112274,0.101090447,-0.434846431
E01000304,-0.999286189,0.142939218,-0.534874868,-0.558202464,-0.230210037,-0.54707594,-0.718232598,-0.201017963,-0.665239596,-0.159996125,-0.229619433,0.043729161,-0.405000561
E01000305,-0.952059614,-0.127522319,-0.204923348,-0.613284198,0.286174114,-0.373555254,-0.714288721,-0.388376451,-0.673177563,-0.195563702,-0.151366123,-0.319360759,-0.551085817
E01000302,-0.999188299,0.183689188,-0.44430095,-0.591480162,-0.001251309,-0.361617487,-0.620564751,-0.331701379,-0.669042731,-0.05604993,-0.06400715,-0.007626955,-0.427608386
E01000303,-0.999165728,-0.048877486,-0.589536961,-0.525112866,-0.050092692,-0.421540155,-0.789463124,-0.191629799,-0.660975618,-0.238786251,-0.195318027,0.211483394,-0.421236645
E01000300,-0.984058228,-0.014376104,-0.523369035,-0.547903393,-0.179598416,-0.515686659,-0.649752174,-0.244927943,-0.675816556,-0.121676602,-0.152126866,0.015762906,-0.348059572
E01000301,-0.998998829,-0.103943459,-0.603162139,-0.495573141,-0.067130553,-0.402627623,-0.708895748,-0.20329778,-0.638791243,-0.120830407,-0.159229671,0.160998627,-0.493100425
E01000308,-0.998727865,-0.309726346,-0.060852816,-0.773305797,-0.283026057,-0.240903615,-0.6359902,-0.357253233,-0.69562179,-0.037608788,-0.163049855,0.095256622,-0.442759017
E01000309,-0.998772348,-0.015067107,-0.465476432,-0.496330411,0.079645032,-0.165568729,-0.437007383,0.148631821,-0.631785149,-0.005003077,-0.171664137,0.213818306,-0.453902103
E01000266,-0.978704795,-0.445430766,-0.725592775,-0.393249082,-0.249185867,-0.160987501,-0.726877641,-0.052317982,-0.61351018,0.018073305,-0.125684536,-0.114631477,-0.38220918
E01000267,-0.998973682,-0.329423777,-0.612152159,-0.490216215,-0.355713854,-0.534713815,-0.557908873,-0.27981867,-0.701256268,-0.147234744,-0.258335405,-0.163557525,-0.388849874
E01000264,-0.99885678,-0.041183381,-0.527452899,-0.529703065,-0.013543958,-0.371213914,-0.591536551,-0.222188014,-0.625050716,0.133558031,0.023503908,-0.514476227,-0.690353757
E01000265,-0.999047257,-0.164069886,-0.383259524,-0.617206868,-0.261001874,-0.491405529,-0.625053567,-0.314484844,-0.67502842,-0.057984706,-0.160829266,-0.16052423,-0.368461037
E01000262,-0.998851091,-0.211614942,-0.4435584,-0.583374325,-0.131938925,-0.087911175,-0.701964272,-0.128903581,-0.662366317,-0.039528611,-0.142661366,-0.191284626,-0.357747002
E01000263,-0.998122338,-0.509864789,-0.873741809,-0.269603127,-0.275386128,0.180817721,-0.872070209,0.356712481,-0.584878729,0.222838883,-0.178216,-0.090852863,-0.415861572
E01000260,-0.99904555,-0.162172002,-0.395357032,-0.601625381,-0.146810702,-0.459471364,-0.605276201,-0.171198271,-0.683218568,-0.069630769,-0.177837191,-0.014379052,-0.354836529
E01000261,-0.998455487,-0.261575169,-0.704928082,-0.426308687,-0.257573553,-0.09040858,-0.660490279,-0.186896216,-0.617049354,0.055070175,0.083725834,-0.030958235,-0.324374486
E01000268,-0.998956602,-0.036116016,-0.477413544,-0.580043384,-0.305203631,-0.435007377,-0.579127412,-0.190607294,-0.663320145,-0.024550963,0.020226539,-0.288223031,-0.485418088
E01000269,-0.998832685,-0.411792982,-0.565966585,-0.493685617,-0.34428784,-0.524685844,-0.679464279,-0.266934066,-0.683953118,-0.220254356,-0.171453321,0.051386927,-0.391659953
E01000146,-0.999122917,0.415379615,-0.450851607,-0.635160386,0.067759371,-0.356561527,-0.507214228,-0.377160602,-0.581053498,0.044440158,-0.005403132,-0.365189281,-0.674394947
E01000147,-0.999061794,-0.217421366,-0.36389275,-0.544023347,0.361355547,-0.40480472,-0.446935952,-0.294077029,-0.692784399,-0.130241218,-0.214464639,0.221889744,-0.445236784
E01000144,-0.999286535,0.313855185,-0.506248333,-0.570471538,0.129738412,-0.433278626,-0.645099427,-0.279066884,-0.642947232,-0.017779092,-0.055664392,-0.057921879,-0.396900272
E01000145,-0.998997386,-0.087937064,-0.539026479,-0.504174354,-0.030635752,-0.284609391,-0.707156524,-0.25428173,-0.647897015,-0.134315606,-0.109809995,0.074031331,-0.367251172
E01000142,-0.999151402,0.146941747,-0.320915431,-0.682174532,0.105364387,-0.268486527,-0.682197977,-0.337539285,-0.62268679,-0.270801552,-0.260043208,-0.28955053,-0.32193178
E01000143,-0.979846416,-0.094002782,-0.153630792,-0.666367294,-0.241965545,-0.20430106,-0.702399415,-0.393148469,-0.602080332,-0.248936186,-0.259214982,-0.288568813,-0.378657547
E01000140,-0.999113752,0.245174746,-0.431294117,-0.596863845,0.013706714,-0.380653287,-0.551275513,-0.333556071,-0.650234602,0.056658102,0.034183514,-0.266168484,-0.383026218
