GeographyCode,KS101EW0008,KS101EW0001,KS102EW0036,KS102EW0037,KS102EW0038,KS201EW0020,KS201EW0021,KS201EW0022,KS201EW0023,KS201EW0024,KS201EW0025,KS201EW0026,KS201EW0027,KS201EW0028,KS201EW0029,KS201EW0030,KS201EW0031,KS201EW0032,KS201EW0033,KS201EW0034,KS201EW0035,KS201EW0036,KS201EW0037,KS401EW0020,KS401EW0021,KS401EW0022,KS401EW0023,KS401EW0024,KS401EW0025,KS401EW0026,KS402EW0010,KS402EW0011,KS402EW0012,KS402EW0013,KS402EW0014,KS402EW0015,KS402EW0016,KS402EW0017,KS501EW0014,KS501EW0015,KS501EW0016,KS501EW0017,KS501EW0018,KS501EW0019,KS501EW0020,KS608EW0011,KS608EW0012,KS608EW0013,KS608EW0014,KS608EW0015,KS608EW0016,KS608EW0017,KS608EW0018,KS608EW0019
E01001558,108.4,1613,31.06013639,62.12027278,6.819590824,16.6150031,0.991940484,0.309981401,17.5449473,3.099814011,0.991940484,1.115933044,2.293862368,3.285802852,0.619962802,2.355858648,0,8.36949783,17.5449473,8.617482951,5.021698698,2.603843769,8.617482951,7.180385289,7.530647986,32.92469352,44.65849387,2.802101576,4.72854641,0.175131349,13.97849462,22.75985663,0.17921147,33.15412186,2.867383513,23.65591398,0.896057348,2.508960573,25.6294964,13.39928058,14.29856115,1.618705036,8.81294964,20.95323741,15.28776978,8.318264014,12.83905967,9.584086799,8.679927667,7.414104882,13.56238698,11.75406872,8.137432188,19.71066908
E01001559,22.2,2051,24.76840565,65.18771332,10.04388103,18.91760117,0.828863969,0.48756704,21.30667967,2.145294978,0.975134081,1.218917601,2.145294978,2.632862019,0.585080449,0.926377377,0.48756704,5.070697221,14.28571429,16.47976597,5.997074598,0.975134081,4.534373476,6.4,13.73333333,45.33333333,29.46666667,3.733333333,1.2,0.133333333,15.61238223,28.80215343,2.01884253,8.479138627,10.63257066,30.68640646,1.076716016,2.69179004,28.77511342,12.37848347,13.73946857,1.685029164,8.813998704,22.42384964,12.18405703,5.095541401,14.01273885,9.681528662,11.97452229,11.84713376,11.33757962,9.426751592,8.025477707,18.59872611
E01001394,95.8,1653,17.54385965,68.90502116,13.55111918,23.35148215,2.238354507,0.120992136,31.6999395,1.935874168,0.665456745,1.08892922,1.270417423,7.622504537,0.54446461,0.907441016,1.149425287,5.021173624,6.352087114,5.323653962,1.270417423,0.241984271,9.195402299,5.589123867,13.29305136,46.22356495,24.01812689,7.401812689,3.474320242,0,27.1875,26.09375,2.03125,6.25,6.40625,28.75,2.5,0.78125,23.03741746,11.51870873,12.1056493,1.393983859,11.0785033,26.11885547,14.74688188,12.65822785,13.79746835,12.53164557,12.78481013,10.37974684,10.50632911,8.227848101,5.82278481,13.29113924
E01001395,66.3,1590,24.59119497,65.97484277,9.433962265,23.96226415,2.075471698,0.188679245,27.79874214,1.761006289,1.698113208,0.691823899,2.704402516,3.333333333,3.018867925,2.201257862,1.132075472,5.220125786,6.981132075,5.849056604,2.264150943,0.314465409,8.805031447,3.691813804,17.01444623,27.76886035,48.47512039,2.889245586,0.160513644,0,16.29032258,24.67741935,0.806451613,13.70967742,27.41935484,15.32258065,0.322580645,1.451612903,22.01834862,13.76146789,14.34528774,1.417848207,10.59216013,23.85321101,14.0116764,10.09036145,15.81325301,10.54216867,11.14457831,9.939759036,11.74698795,10.84337349,6.777108434,13.10240964
E01001397,64.4,1924,19.64656965,71.3097713,9.043659045,20.89397089,1.143451143,0,32.12058212,0.77962578,0.727650728,1.507276507,2.079002079,9.043659044,1.611226611,3.43035343,2.338877339,5.665280665,5.925155925,3.69022869,1.819126819,0.831600832,6.392931393,3.172588832,12.81725888,32.36040609,45.93908629,5.203045685,0.507614213,0,21.71136654,36.14303959,1.660280971,1.787994891,7.535121328,29.24648787,1.149425287,0.766283525,20.37516171,10.41397154,11.57826649,1.48771022,9.379042691,31.11254851,15.65329884,9.484536082,14.84536082,14.84536082,13.29896907,13.09278351,7.525773196,9.690721649,4.742268041,12.4742268
E01001500,68,1527,20.30124427,66.86313032,12.83562541,32.67845449,4.97707924,0.261951539,27.30844794,1.637197119,0.654878847,0.982318271,2.750491159,5.697445972,1.964636542,0.720366732,0.392927308,4.191224623,3.143418468,3.012442698,1.506221349,0.916830386,7.203667322,4.62633452,15.83629893,58.54092527,7.829181495,12.63345196,0.533807829,0,35.01805054,31.94945848,0,1.624548736,3.249097473,25.63176895,1.083032491,1.444043321,18.98110107,10.92851274,12.40755957,1.725554643,10.10682005,32.21035333,13.6400986,10.86956522,21.875,13.99456522,11.41304348,11.00543478,6.929347826,9.510869565,4.891304348,9.510869565
E01001556,72.8,1579,20.26599113,66.11779608,13.61621279,24.50918303,1.456618113,0.189993667,32.36225459,1.013299557,1.013299557,1.076630779,2.343255225,6.839772008,0.949968334,1.519949335,0.633312223,4.559848005,4.813172894,7.853071564,2.089930336,0.379987334,6.396453452,4.945054945,20.87912088,65.56776557,7.509157509,0.732600733,0,0.366300366,38.30570902,39.04235727,0.184162063,6.261510129,1.657458564,13.07550645,0.368324125,1.104972376,23.27243844,11.7553614,12.78792693,2.223987292,10.8816521,25.41699762,13.66163622,8.356164384,15.75342466,9.863013699,13.97260274,14.65753425,11.36986301,10,5.342465753,10.68493151
E01001560,60.5,1599,22.32645403,67.16697937,10.5065666,20.26266417,1.62601626,0,25.89118199,1.000625391,0,1.250781739,2.876797999,8.130081301,1.751094434,1.563477173,0.437773609,5.315822389,11.31957473,5.691056911,3.001876173,1.563477173,8.317698562,4.372623574,32.69961977,47.14828897,12.16730038,2.281368821,1.140684411,0.190114068,28.68217054,29.26356589,0.19379845,12.01550388,10.65891473,16.47286822,0.968992248,1.744186047,28.50241546,13.76811594,12.23832528,1.207729469,9.500805153,21.81964573,12.96296296,9.896602659,14.91875923,7.828655835,13.14623338,11.816839,10.78286558,12.25997046,8.271787297,11.07828656
E01001390,128.3,1971,15.27143582,75.95129376,8.777270421,40.63926941,3.196347032,0.101471334,22.32369356,0.811770675,0.659563673,2.536783359,1.927955353,9.741248097,0.913242009,0.558092339,1.522070015,5.834601725,2.739726027,2.181633688,1.166920345,0.253678336,2.891933029,2.187902188,23.29472329,28.44272844,16.34491634,29.47232947,0.257400257,0,25.98425197,31.88976378,0.262467192,1.968503937,0.787401575,36.08923885,1.57480315,1.443569554,9.161676647,8.682634731,10.65868263,0.898203593,10.17964072,47.90419162,12.51497006,10.06655574,23.4608985,18.718802,12.06322795,8.40266223,6.15640599,7.321131448,2.412645591,11.39767055
E01001391,118.1,1564,14.1943734,76.6624041,9.143222507,30.81841432,2.813299233,0,31.20204604,1.982097187,1.278772379,1.470588235,1.21483376,3.964194373,0.767263427,0.511508951,1.21483376,3.836317136,6.52173913,6.010230179,1.854219949,1.21483376,3.324808184,2.816901408,7.042253521,22.67605634,29.57746479,37.46478873,0.14084507,0.281690141,17.46724891,22.56186317,0.436681223,3.493449782,5.531295488,47.30713246,1.310043668,1.892285298,15.72280179,8.792846498,9.612518629,1.341281669,10.05961252,37.0342772,17.4366617,10.77636153,20.27809965,11.00811124,12.51448436,12.51448436,8.574739282,6.025492468,4.171494786,14.13673233
