start_point,end_point,length
77116,77445,28
77154,2630441,26
77157,77003,30
77158,2630443,93
77160,77119,13
77100,77119,98
77165,77009,267
77166,2630446,82
77167,77166,88
77168,76631,80
76631,78028,106
77174,77176,188
77175,77177,37
77176,2630112,118
77177,77589,91
76588,77821,76
77181,77182,15
77182,78040,124
77188,77209,16
77188,77955,91
77189,77308,58
77189,2630451,49
76972,77565,38
77181,77926,95
76847,2630452,11
77145,76847,16
76787,77176,19
77192,78140,140
77192,77157,63
76842,2630455,149
77193,76842,38
77194,77513,36
77195,78500,140
76928,77195,113
77200,77515,33
77200,2630457,27
77201,77311,47
77201,78245,163
77203,77472,36
76810,76853,38
77204,76524,128
77205,76524,71
77208,2630459,14
77208,77222,24
77209,77263,11
77210,76403,63
77211,76987,20
77213,76996,68
76626,76996,73
77214,76651,39
77145,86568,1248
77215,77145,101
77216,76786,106
77219,77251,6
77222,2630461,16
77223,2630462,64
77226,77227,83
77227,77623,342
77227,78343,143
77228,75090,102
77229,77666,54
77229,77353,23
76626,77479,203
77230,78033,133
77230,77604,92
77232,77327,24
77233,76652,30
77234,77079,76
77239,76616,229
77240,76616,87
76967,77239,48
77249,77129,81
77129,76602,42
77250,77251,27
77251,2630468,10
77255,77360,17
77256,76761,117
77259,2630470,190
77260,2630471,61
77260,2630472,21
77261,77883,73
77262,79741,464
77263,77262,22
77264,77265,33
77265,77588,325
77266,77267,177
77267,76346,13
77268,77557,45
77214,77268,76
77270,76811,18
76403,77294,81
77272,76275,15
77273,76275,24
77274,77215,11
77274,76920,71
76745,2630452,296
76846,2630452,116
77126,2630474,14
77282,77364,39
77283,77282,370
77284,76939,170
77291,2630477,32
77263,77977,85
77293,2630112,79
77294,2630112,74
77294,2630478,83
77295,78012,87
77299,75430,39
76187,77066,115
76293,76187,607
77302,2630480,14
77303,77302,14
77308,2630483,38
77309,77477,21
77310,77311,35
77311,77310,34
77315,77690,70
77125,78688,190
77318,77125,97
77319,77386,14
77319,77730,101
77321,2630485,118
77321,77442,41
77324,2630486,45
77325,78002,10
77326,77516,19
77326,77479,27
77327,79097,268
77327,77680,81
76920,77356,10
77331,77533,21
76007,76293,63
77333,77213,19
77334,77213,6
77273,76990,7
77344,76990,64
77345,77374,12
76346,76950,93
77346,76810,89
77334,77783,240
77334,77333,18
77348,76565,34
77222,78094,109
77353,77414,10
77354,77355,217
77355,77553,43
77356,77462,13
77356,77481,99
77360,77614,126
77360,2630493,70
77364,77503,111
77364,78069,78
77365,77365,114
77366,77841,98
77366,77111,165
77367,76929,19
77367,77390,45
77368,77369,39
77369,77802,73
77371,2630495,112
77374,2630499,10
77375,77193,48
77376,76988,85
77377,76988,93
76952,77759,42
77379,77773,46
77379,77773,91
77386,76928,50
77387,77215,69
77388,75231,58
77390,76929,36
77368,2630502,60
77392,77318,109
77393,77318,145
77394,77144,31
77144,77520,66
77395,2630346,72
76338,77586,31
77397,76338,194
77405,77273,44
77406,76825,206
76825,78194,178
77407,77885,74
77407,77884,142
77408,77654,27
77411,77411,80
77411,77428,26
77413,2630508,21
77413,77674,39
77414,77580,46
77414,77642,38
76894,77368,8
77417,77719,57
77419,76894,60
76559,77905,67
77422,76742,102
77423,76742,69
76951,77567,15
77428,77494,7
77043,77976,86
77386,77850,43
77442,76958,22
77419,77818,37
77120,77736,46
77250,77120,39
77445,2630518,7
77445,2630519,12
77446,2629844,103
76602,78658,162
77449,77515,14
77450,77449,28
77099,77468,224
77099,77593,44
77453,2630522,12
77454,77018,20
77018,77489,37
77157,77767,106
77455,76522,51
77456,76522,45
77458,2630523,38
77270,77543,9
77459,77270,21
77387,77700,46
77462,77387,10
77466,2630527,14
77468,77035,63
77471,77472,92
77472,77168,70
77473,76929,117
77476,75688,36
77477,77789,78
77478,77477,85
77479,77516,24
77480,77603,30
77480,77604,17
77462,77700,57
77481,77462,96
75317,77775,113
77489,2630535,8
77490,77223,14
77493,77494,43
77494,77493,21
77495,77324,15
76568,76706,18
76706,76568,17
77503,77623,122
77503,78234,95
77454,77250,32
77504,77721,49
77505,76505,60
77512,77324,78
77513,78689,163
77513,2630455,33
77175,2630542,142
77514,77175,84
77515,77694,24
77516,77783,27
77516,77545,13
77517,2630543,55
77517,77619,60
77264,2630545,12
77520,77560,48
77333,77583,21
77522,76989,52
76989,77908,244
76685,2630547,68
77523,77524,20
77524,77658,48
77525,77595,17
77529,77264,13
76658,76657,40
77530,76658,61
77531,76627,136
77532,76627,5
77533,2630549,28
77534,77533,55
77535,76007,124
77543,77630,14
77543,77631,10
77544,2630551,22
77544,2630552,23
77545,77602,34
77546,77532,16
77532,77546,15
77311,77610,10
77311,77860,49
77553,77354,377
77553,75676,56
77554,76908,53
77554,77616,77
77557,2630558,17
77560,2630559,10
77560,2630560,9
77562,77546,36
77165,2630562,188
77564,2630563,20
77565,79837,247
77565,79394,382
77566,77453,22
77453,77567,33
77567,77673,49
76687,77089,29
77089,77582,63
77299,77985,69
77405,77299,37
77568,77619,9
77573,76998,76
77308,77228,59
77579,77308,48
77580,77776,112
77580,77642,72
77581,77466,32
77466,77707,33
77582,77442,201
77583,77534,125
77534,78002,47
77204,2630569,51
77585,77045,20
77045,77893,114
77586,77587,22
77587,77586,117
77588,77049,24
77049,2630570,51
77291,2630572,83
76675,77291,59
77589,76685,13
77223,77377,46
77593,77234,22
77594,77595,185
77595,77926,99
77599,76890,21
77601,76706,7
75708,77602,120
77602,77783,48
77603,77604,35
77604,78033,48
77606,77712,13
77609,78343,73
77610,78226,119
77613,77167,261
77535,2630576,109
77614,77615,114
77615,77346,19
77616,76908,31
77617,78167,77
77617,77388,67
77619,2630577,12
77234,77893,78
77623,77609,116
77623,78362,90
77624,77454,40
77375,2630455,299
77630,77631,8
77631,77459,6
77631,77647,17
77557,2630582,31
77639,77585,28
77505,2630584,62
77640,2630585,59
77641,77985,38
76859,2630586,21
77642,77666,8
77603,78028,82
77643,77738,29
77644,77643,41
77644,77643,28
77645,78074,52
77647,77651,6
77651,77459,13
77630,77727,8
77653,2630590,55
77654,77852,37
77654,78125,53
77657,75708,32
77658,75708,58
77659,77601,16
77659,77601,16
77601,77942,111
77666,77844,66
77667,79829,250
77668,77667,83
77672,77348,66
77673,77348,168
77674,77891,29
77674,77851,28
77226,78139,59
77679,77680,300
77680,77720,30
77681,77354,111
77683,77653,27
77689,77456,52
77690,77456,24
77239,78030,87
77693,77394,47
77394,77564,34
77694,77450,20
77694,77906,36
77450,76700,5
77493,77879,35
77697,77644,185
77698,78142,51
77699,77698,193
77700,77698,27
77705,77589,53
77706,2630600,20
77707,77562,16
77707,77581,31
77562,78038,38
77523,77658,48
77658,77657,48
77481,78551,98
75494,77481,19
77711,77585,6
77712,2630601,8
77716,76859,29
77717,78106,56
77717,78106,134
77718,77717,132
77719,77844,21
77720,77523,38
77721,77599,19
77721,2630603,50
77722,76675,93
77259,78832,121
77727,77812,11
77727,78429,212
77730,2630605,62
77583,77653,85
77583,78153,47
77731,2629844,107
76700,78072,38
77593,77894,130
77734,77593,31
77736,77712,16
77738,77936,28
77738,77936,43
77747,2630608,58
77749,77749,176
77609,77749,38
77750,77564,20
77754,78187,48
77755,77754,51
77759,2630611,21
77765,78214,51
77766,77765,114
77767,77903,114
77767,77904,64
77773,77886,16
77775,77659,45
77776,78456,137
77777,77776,142
77778,77776,313
77780,77986,26
77781,77100,65
77782,77405,59
77783,78122,40
77720,78032,149
77784,77168,127
77785,75494,34
77587,78260,57
77759,2630614,11
77787,77651,20
77788,77423,60
77789,77423,44
77790,2630446,71
77791,2630446,209
77792,76687,91
75676,78386,114
77346,2630615,10
77346,78208,70
77588,2630616,42
77794,77711,144
77711,2630617,25
77476,77808,35
77796,77476,53
77390,78395,67
77205,2630618,65
77205,78141,50
77802,77458,48
77458,2630620,45
77736,78114,38
77804,77599,31
77066,78387,103
77806,77647,10
77647,77866,8
77807,78437,132
77808,77640,206
77640,77808,139
77730,77376,36
77812,77806,7
77806,77866,15
77813,77690,68
77816,76949,99
77817,76949,123
77818,77913,11
77818,2630626,59
77819,77392,230
77820,77392,44
77821,77970,23
77821,77971,40
77812,78429,72
77473,79395,252
75341,79174,151
77831,77681,16
77832,77681,223
77834,77455,55
77689,77455,45
77841,78128,47
77841,78128,45
76657,78216,49
77842,76347,15
77844,78164,92
77845,77468,69
77850,78014,18
77850,78129,101
77851,77852,44
77852,78125,36
77855,77816,216
77860,78612,129
77860,78245,62
77831,78936,117
77864,77912,42
77864,78174,33
77866,77787,10
77581,78039,31
77785,79105,151
77869,77785,24
77875,77706,21
77875,77804,22
77879,2630644,39
77882,77249,80
77883,79012,133
77883,78192,63
77884,77530,125
77885,77530,9
77074,77905,2
77074,78944,172
76950,78433,129
77886,2630646,212
77886,78088,59
77706,78012,34
75624,75737,117
77891,77851,17
77892,2630648,37
77893,77734,132
77894,77734,29
77657,78032,21
77895,77616,23
77900,77204,6
77668,77901,272
77901,77668,75
77903,77904,183
77904,78427,110
77905,78021,55
77906,77916,57
77906,78099,20
77907,78143,26
77908,78545,72
77908,78771,315
77909,77388,87
77912,78201,200
77912,78228,34
77913,78131,23
77913,78131,70
77915,2630653,56
77916,77891,44
77256,78195,30
77921,77582,59
77925,77377,1
77926,79311,166
77927,77900,45
77900,78364,67
77884,77885,77
77925,78909,133
77422,77925,34
77936,78579,68
77942,77942,72
77944,78068,21
77945,76779,71
76779,78795,178
76728,77228,132
77946,77535,14
77947,77842,31
77842,78389,68
77869,78447,112
77952,77787,153
77955,77978,11
77956,77955,14
76298,77522,52
77957,77522,161
77958,77397,72
77397,77958,194
77962,2630658,69
77963,77964,41
77964,77747,177
77965,77964,138
76587,78484,63
77966,76587,226
77802,78262,36
77970,78059,9
77970,78402,68
77971,77970,33
77972,77624,25
77973,77624,31
77974,77376,22
77976,77998,14
77976,78115,17
77977,78352,46
77978,77977,23
77982,77256,211
77983,78142,69
77985,2630661,15
77879,78379,44
77796,77986,83
77986,2630663,49
77987,77747,53
77945,2630664,60
77813,2630665,33
77995,78356,42
77998,76826,48
77998,78115,28
77999,77973,9
78000,2630666,9
78001,77916,28
78002,2630667,10
78005,77293,58
78006,77293,102
78007,78491,61
78008,78007,205
78009,2630346,59
78010,78111,154
77778,78010,88
78010,79052,113
78012,78101,28
77946,78784,127
77673,78385,44
78014,2630670,27
78014,2630670,28
78016,78944,118
78016,78216,33
78017,77789,110
77978,77956,16
78020,77956,87
77478,77915,25
78021,77478,33
78022,78652,127
78022,77266,173
78027,78028,72
78028,79419,185
78030,77240,221
78031,77240,99
77775,78223,26
76520,78238,91
78032,78493,132
78033,78691,70
77867,2630675,43
77868,2630676,24
78037,78432,60
78038,2630677,30
78039,78038,58
78040,79853,214
78040,78090,108
78040,78866,106
78047,77573,57
78048,77573,43
78052,2630678,9
78054,76337,130
77471,77784,56
78059,78190,23
78059,2630680,19
77978,78455,48
78068,78069,40
78069,78284,29
78070,77867,102
78071,78072,52
78072,78098,34
77845,77894,57
78074,79839,435
78074,2630682,214
77804,78100,16
78077,78365,33
78078,78077,119
78081,77689,55
78085,2630685,45
78086,78000,9
78000,77972,26
78088,77927,30
78088,77927,92
76826,78610,73
78090,2630687,195
78091,78090,297
77973,2630689,9
78094,78094,34
78068,2630690,11
78097,77693,86
77693,2630691,151
78098,78099,40
78099,78001,43
78100,2630692,24
78101,78154,18
78101,79372,136
78106,78432,48
78107,77755,40
78111,78173,41
78112,78111,71
78052,78114,42
78114,78353,47
78115,77834,34
78119,77705,15
78120,77705,27
78122,78189,6
78122,78189,62
78125,78578,49
78126,77050,108
77050,78700,436
78127,78942,149
78127,78138,79
78128,78225,16
78128,79382,243
78129,77974,32
78130,77974,82
78131,2630698,22
78138,78139,96
78139,78342,83
78070,2630676,66
78140,2630676,49
78039,78413,54
77947,78141,15
78141,2630700,17
78142,78551,147
78143,2630701,23
78143,78563,231
78147,78052,8
78151,77422,131
78152,77422,83
78153,2630590,86
78153,78477,36
78154,78269,43
78154,78326,159
78159,78068,19
78160,2630704,110
78164,78375,22
78167,2630705,36
78172,77778,29
78173,78275,76
78173,78275,74
78174,78228,43
78174,78936,85
78091,78239,18
78179,78091,14
78180,77971,75
78181,77972,34
78183,77755,38
77755,78187,11
78185,77796,138
78186,78301,13
77963,2630707,10
78187,78261,9
78188,78507,44
78189,78492,34
78190,2630680,29
78191,2630680,84
78192,79013,125
78192,78484,62
78193,78194,63
78194,78009,71
78164,78664,150
78195,78316,47
78195,2630709,126
77947,2630700,14
77820,79077,100
78198,77820,34
77915,2630710,19
78201,79596,147
78207,77782,38
77782,78437,39
78100,78317,75
78208,2630712,133
77614,2630713,48
78190,78402,37
78213,78214,92
78214,78529,34
78215,77512,27
78207,77512,71
78216,79139,114
78216,78611,74
78223,78608,44
78223,78224,41
78224,78223,41
78225,78255,3
78225,79515,248
78226,77901,30
78227,2630590,37
78228,78848,77
78229,2630716,53
78230,78167,17
78001,78895,103
78233,77672,6
77672,2630718,60
78234,77892,42
77892,2630719,17
78238,77813,41
78152,77788,53
77788,79005,133
78239,78179,8
78021,78017,69
78242,78098,26
78245,78626,57
78253,2630670,13
78254,2630670,79
78255,78416,29
78255,78416,31
78257,77266,49
77834,78081,45
78260,2630725,51
78260,79053,95
78261,78503,25
78261,78486,39
78262,78085,48
78262,78720,72
78264,78377,11
78267,77790,93
78268,77790,216
78269,78326,18
78269,78464,26
78272,77963,139
78179,78654,152
78275,78331,19
78172,77777,28
78276,2630728,48
78202,78447,19
78280,78202,92
78284,2630730,24
78287,78233,4
78288,78233,178
78185,2630733,129
78290,2630700,90
78301,79191,94
78301,78483,67
78208,78817,63
77777,78172,26
78307,78287,53
74811,78287,72
78314,78377,16
78315,78048,77
78316,78048,32
78317,2630739,96
78318,78318,48
78318,78253,41
78319,2630741,46
78320,78752,53
78326,78478,50
78327,77699,376
77699,2630745,248
78284,78544,23
78331,78453,160
78332,78331,152
78334,77884,71
78234,78686,52
78342,78343,82
78343,78362,238
77965,77781,69
77781,2630748,70
77613,78344,62
78344,78491,32
78345,77921,65
77921,79323,114
78349,2630750,12
78351,78352,235
78352,78455,22
78353,78617,29
78353,78181,32
78354,2630675,12
78355,2630675,86
78356,79653,192
78356,78562,59
78071,78242,29
78357,78242,179
78362,78927,67
78254,78129,39
78129,78862,88
78363,78364,57
78364,78290,91
78365,78614,25
78366,78365,111
78368,2630754,33
78375,78522,17
78375,78522,80
78376,78027,114
78027,78692,39
78377,78594,35
78379,2630757,29
78379,78851,58
78380,78253,58
78383,77371,54
77371,75384,89
78384,2630758,115
78385,2630759,70
78386,78405,12
78387,78386,14
78388,78389,64
78389,80480,341
77731,78564,26
78393,77845,72
78394,77845,36
78395,79395,104
78396,78395,173
78397,78383,57
78383,2630760,499
78401,2630762,9
78402,78734,66
78405,78387,24
78406,76298,65
78407,76298,43
78411,78047,51
78413,76316,29
78413,78445,34
78415,77945,65
78416,78860,88
78226,79729,191
78418,78226,29
78421,78477,80
77794,78421,138
78422,78421,13
78427,78819,45
78427,79353,178
78428,76440,35
78385,78288,23
78429,79283,356
78431,78213,96
78213,79243,398
78030,79093,98
78432,77718,28
77792,78698,33
78433,77792,32
78437,78773,41
78437,2630769,31
78354,78908,68
78354,79118,101
78445,76316,19
78446,2630774,16
78447,78280,107
78448,78397,55
78397,78448,698
78449,79071,28
78453,78712,66
78453,2630776,42
78455,80340,236
77777,80396,241
78456,77777,9
78085,2630778,52
78401,2630779,9
78462,78401,115
78463,78543,20
78464,2630780,25
78465,78349,54
78349,2630781,13
78467,78215,13
78468,78215,40
78469,78181,32
77882,78685,30
77882,78550,31
78477,78523,48
78478,78691,68
78478,80194,188
78479,74811,93
77393,78198,57
78482,2630687,40
78483,79215,85
78483,78793,55
78484,78487,9
78485,2630782,22
78071,78626,19
78486,78503,31
76780,78486,56
78081,78646,27
78487,79117,63
78489,78005,20
78490,78005,166
78491,78663,32
78492,78449,34
78493,78492,42
78494,78492,56
78495,78492,49
78405,77832,482
78496,77957,62
78497,77957,87
78498,75384,678
78500,78871,41
78500,78872,42
78503,78630,12
78183,78503,12
78504,78207,84
78506,78469,8
78507,78529,37
78508,78507,217
78510,78198,64
78511,78009,53
78456,79432,118
78512,78316,59
78514,77962,43
78464,79759,133
78515,78704,33
78522,2630788,41
78523,78571,41
78523,78662,14
77784,78376,59
78529,78587,6
78530,78224,46
78531,78183,33
78532,78183,11
77111,2630791,169
75737,78832,127
78535,78617,17
78543,78544,51
78544,78465,2
78545,78497,21
78545,2630793,49
78546,78422,9
78422,78546,17
78550,76780,70
78551,2630795,37
78562,79069,59
78562,78193,48
78563,78564,20
78564,2630704,90
78565,77722,91
78566,77722,57
78571,78613,43
78572,78571,26
78465,78952,52
78487,79799,192
78577,78578,78
78578,78895,59
78579,78724,31
78579,78723,23
78580,78276,79
78276,2630801,59
76604,77982,121
76604,79782,130
78585,76604,90
78586,78587,22
78587,78586,22
78594,77948,181
77948,79664,460
78595,77948,168
78446,2630807,12
78597,2630808,20
78469,2630809,8
78606,78280,59
78608,78530,43
78530,78608,43
78610,78334,15
78610,78334,16
78238,79126,61
78611,80014,175
78611,78964,76
78485,78446,46
78418,2630814,104
78612,78418,19
78613,78631,55
78613,78631,29
78614,78366,89
78614,78078,73
78615,78394,106
78615,78394,75
78617,2630816,10
78618,77958,68
78621,2630241,88
78428,2630241,103
78622,2630817,160
78623,78546,30
78625,78779,17
78626,78957,63
78532,78630,12
78630,78745,162
78630,78650,35
78631,78647,12
78635,78054,167
78054,79741,176
78636,78637,156
78637,79796,181
78638,78639,191
78639,2630820,36
78640,78639,52
78112,2630821,102
78644,78445,34
78646,2630822,60
78646,79126,95
78647,78494,35
78647,78494,165
78531,78532,30
78650,78532,37
78651,78433,36
78433,78698,8
78652,79027,97
78653,78652,239
78654,2630687,28
78288,78751,10
78193,78511,70
78658,78812,11
78543,78687,3
78660,78254,46
78661,78662,16
78662,78661,8
78663,78859,62
78663,78961,173
78664,78918,31
78664,77406,125
78665,78152,118
78667,2630823,49
78668,2630824,10
78670,78489,74
78489,78368,39
78070,79118,66
78671,78070,65
78493,78449,31
78493,79071,51
78407,78673,36
78673,78407,14
78674,78623,104
78679,78138,131
78138,79393,94
78017,79005,59
78680,78017,51
78681,78393,67
78684,2630828,27
78685,78550,26
78686,78687,49
78687,2630829,36
78531,78880,59
78688,77393,64
78497,78869,13
78689,78838,162
78690,78689,70
78691,79419,75
78692,78693,100
78693,78692,122
78694,78078,15
78697,78411,107
78411,78789,41
78229,2630831,25
78594,78229,47
78368,2630832,77
78698,78651,37
78698,79391,106
78700,78898,23
78700,76702,36
78701,78485,47
78703,79541,118
78704,78703,74
78703,79542,134
77174,2630832,119
78636,78636,51
78709,77909,58
77909,78768,145
78334,78970,37
78334,78970,37
78684,78334,36
78661,78623,124
78712,2630836,22
78718,78563,98
78720,78319,44
78319,2630838,42
78597,2630839,13
78721,78597,35
78723,78738,22
78724,78723,22
78726,78612,12
78734,78752,3
78735,78734,81
78737,2630832,89
78738,78738,35
78745,78685,19
78685,78785,49
78750,78668,51
78668,78918,45
78751,79084,36
78751,2630849,47
78752,78835,24
78752,78835,23
78756,78112,49
78704,79211,64
78757,78704,47
78759,78673,29
78760,78745,86
78761,78428,73
78366,2630853,11
78586,79115,65
78765,78586,42
78766,78889,18
77791,78268,83
78767,77791,90
78768,78768,72
78770,78771,20
78771,77284,42
78773,2630855,20
78773,2630856,30
78342,78926,145
78774,78448,72
78778,78622,178
78622,2630858,799
78366,2630859,19
78779,2630860,55
78779,78406,57
77531,78781,22
78781,77531,23
78784,78890,14
78784,79197,83
78785,78658,7
78786,78785,27
78789,78315,38
78315,78986,31
78793,2630863,6
78431,2630864,84
78795,77819,73
77819,79749,123
78796,77794,137
78797,77794,52
78191,78180,9
78180,78968,35
78793,2630866,11
78667,79575,136
78799,78667,102
78803,77174,88
78804,77174,83
78805,78726,145
78806,78726,29
78807,78307,181
78808,78307,155
78345,78810,7
78810,78345,37
78811,78812,32
78812,78852,23
78812,78786,20
78686,79207,52
78449,78495,25
78816,78817,40
78817,79760,123
78819,79690,331
78820,78819,110
78388,2630868,55
78721,78388,12
78830,76728,338
78831,76728,102
78654,78976,48
78832,79664,87
78835,79034,43
78837,2630874,72
78838,78690,108
78690,79015,70
78840,2630876,12
78844,78415,143
78415,78831,222
78845,79138,32
78846,78986,27
78848,2630879,95
78850,78191,28
78850,78191,29
78191,78981,24
78851,2630880,25
78851,79750,105
78852,78811,7
78811,78638,31
78857,78850,43
78859,77613,65
78860,79394,107
78861,78860,151
78862,2630881,56
78862,78909,10
78863,2630882,52
78317,78929,9
78712,79301,58
78804,2630884,23
77817,78804,81
78865,78866,56
78866,79448,129
78724,79355,51
78867,78290,127
78290,79169,46
78868,77284,18
78869,79225,40
78869,79225,175
78871,79214,37
78872,78871,9
78810,2630885,15
78848,79589,75
78786,78852,28
78878,78031,121
78830,78031,230
78879,78880,318
78880,78928,45
78881,77594,84
78882,77594,157
77982,79602,134
78885,77982,101
78872,79214,36
78887,78872,85
78889,2630889,11
78720,79181,35
78890,79018,19
78890,79197,49
78684,2630890,28
78891,78684,268
78893,78384,33
78894,78893,198
78893,2630891,106
78384,80013,125
78895,78577,54
78895,79212,131
78896,78606,132
78897,76702,115
78898,76702,28
78638,78993,73
78530,78962,52
78512,78904,17
78904,78512,16
78126,78898,457
78906,77817,89
78907,2630894,37
78908,79193,89
78907,78908,42
78680,79236,42
78680,78935,6
78909,78151,32
78910,78514,146
78911,78514,105
78380,78913,26
78913,78380,25
78915,78721,216
78916,2630897,10
78918,79934,220
78889,79446,56
78923,78651,11
78924,78759,33
78924,78759,10
78926,78927,221
78927,80334,163
78928,79911,138
78928,78968,58
78495,79071,33
78495,79088,33
78929,79372,128
78929,78881,53
78934,78797,24
78935,78994,88
78935,78994,15
78376,79346,190
78936,79141,21
78937,2630905,38
78938,75137,9
78939,75137,17
75137,78781,48
78688,79490,66
78942,78688,66
78760,78650,142
78943,78267,196
78267,79691,141
78944,79139,36
78945,78393,40
78393,79640,118
78947,78644,19
78644,78947,20
78952,78840,52
78840,2630906,12
78954,78956,9
78956,78954,182
78957,78954,13
78961,78008,64
78962,78008,72
78963,78964,173
78964,79345,59
78965,78939,177
78938,78939,18
78966,78406,150
78968,78981,18
78970,79345,50
78972,77965,17
78671,79119,83
78671,79265,59
78973,78781,8
78781,79021,63
78735,79594,73
78916,78735,53
78976,2630909,20
78977,78924,154
78978,79299,34
78979,78511,13
78980,2630910,69
78981,78850,40
78786,79208,26
78806,79973,147
78985,78806,30
78986,79321,77
78987,78789,112
78789,79568,74
78988,2630913,25
78993,79342,34
78993,78640,83
78994,79735,178
78995,78904,51
78996,78904,89
78997,78923,23
78923,78997,79
79005,79070,9
78850,78916,19
79007,2630919,25
79010,78660,30
78660,79290,27
79012,79461,56
79013,79012,61
78838,79015,198
79015,2630923,37
78938,81597,301
78973,78938,48
78956,79114,13
79017,79018,39
79018,79278,36
79019,79051,45
79020,79021,7
79021,79040,36
78868,2630925,50
79022,78868,51
79027,78615,37
78701,78887,31
78887,79239,24
78957,79114,9
78952,79289,23
79034,79327,55
79035,79034,24
79036,2630930,177
79037,2630931,38
78580,78816,15
78816,79312,33
79040,79102,7
79040,79063,74
79040,79063,33
79042,2630932,22
79044,78973,60
79045,78973,16
79050,79050,53
79051,79052,6
79051,2630933,50
79052,79083,63
79053,2630934,55
79053,78618,86
78709,2630935,79
79061,2630938,37
79044,79045,77
79020,79045,47
79063,79132,8
79063,79096,29
79069,79653,65
79069,79094,118
79070,78665,48
79070,79861,157
79071,79402,112
79072,79742,109
79077,2630940,26
79077,78510,13
79083,78756,70
79083,2630944,111
79084,78807,6
79084,2630945,68
78566,78988,80
78966,78566,168
79087,79088,47
79088,79087,27
79007,2630946,51
79092,78126,56
79093,78878,106
78878,80886,239
79094,78979,46
78979,2630370,90
78151,79601,86
79096,79101,8
78947,79096,25
79097,79318,76
79097,77679,26
79098,79693,68
79099,79098,170
79098,79140,135
79100,2630704,95
79101,79020,183
79102,79020,37
78799,79695,111
79105,78799,48
78640,78504,105
79107,79036,104
79036,79461,66
79108,79108,37
79099,79108,75
79111,78797,58
79112,78510,3
79113,79208,27
79114,78357,38
79115,78765,49
78765,79218,86
79116,78972,53
78972,79147,20
79117,79264,42
79117,80097,155
79118,80026,157
79119,79118,58
78947,79173,10
79120,78947,32
77679,79852,84
78479,79177,40
78945,79007,27
79126,78891,129
79132,79102,33
78701,79239,20
79133,78701,25
79135,79135,103
79136,79135,57
79137,79138,106
79138,79300,64
79139,79735,75
79140,2630956,180
79140,79275,113
79141,80533,197
79141,79910,86
79142,78580,70
78913,2630957,7
78913,79133,23
78913,79010,47
79147,2630960,9
79150,79112,68
79151,79112,32
78795,80257,130
78795,81323,278
79120,79210,11
79152,79120,128
78976,78863,18
78807,79789,70
79101,79132,29
78859,79514,174
79165,78750,18
78750,79165,78
78894,79166,24
79166,79166,97
79169,2630964,41
79169,2630965,10
79173,79101,20
79174,79606,76
79176,79416,25
79177,2630966,39
79133,2630957,22
79181,79061,53
79181,79800,90
79185,78997,85
79186,78907,22
79191,79381,166
79192,79191,27
77030,79363,43
79193,77030,42
79197,81260,252
78767,81299,338
79204,78767,91
78985,2630973,50
79205,78985,47
79207,79416,43
79208,81522,304
79209,78756,136
79210,79173,32
79211,79498,39
79212,79211,105
79147,79711,65
77406,80638,197
79214,79548,33
79010,2630957,46
79215,2630975,25
79035,2630978,63
79218,78508,137
79219,78508,42
79220,78504,152
78504,79299,58
79224,2630979,9
77027,79224,44
79224,2630980,11
79087,79406,32
79225,79294,5
79105,79604,122
79105,80354,152
78988,79042,22
78988,80229,265
79236,79428,37
79236,79654,151
79237,79288,12
79210,79238,14
79152,79210,131
79238,79210,14
79239,79576,44
79242,79218,199
79243,78431,156
79244,78618,58
79247,79302,11
79248,79035,46
79251,79219,63
78670,79219,120
79253,2630986,24
79257,78709,83
79264,79013,61
79265,80430,249
79265,2630943,67
78697,78987,43
79266,78697,157
79267,79448,30
79273,78965,164
78965,2630989,294
79274,79275,90
79275,79286,4
79277,78945,24
79042,79742,90
79278,79349,9
79279,79278,35
79017,79278,8
79215,79381,46
79281,2630791,48
79282,2630791,77
78863,78837,21
79283,77027,163
78937,80424,157
79284,78937,192
78937,79626,133
79027,79783,70
79285,79027,68
79286,79274,42
79286,79292,96
79287,2630990,65
79288,79289,40
79289,79253,2
79274,79292,14
79290,79010,8
79291,79010,29
79291,79290,27
79292,79279,121
79279,79349,30
79294,79927,86
79294,79326,13
79207,80506,139
79296,2630993,27
78942,80352,144
78679,78942,64
79299,79351,26
79300,79301,29
79301,80336,198
79302,2630994,18
79302,79765,173
79305,79341,249
77952,2630995,42
79307,77952,29
79253,79459,26
79093,81647,312
79310,78577,103
79311,79823,81
79311,79853,149
79312,2630996,23
79312,2630997,26
79313,2630998,46
79316,78635,152
78635,2631000,356
79317,79490,31
79318,79556,44
79319,79318,214
79321,78995,25
79323,79323,54
79326,2631003,15
79326,79296,30
79327,79415,10
79327,79457,26
79115,80400,138
79328,78962,35
79329,79165,20
79333,2631005,11
79341,78185,76
79342,2631006,49
79342,2631007,59
79343,2631008,32
79344,80115,86
79345,79505,21
79346,78693,145
79348,79017,49
79349,79017,8
79349,79348,45
79351,80155,94
79351,79624,130
79353,79037,61
79354,79037,231
78995,79998,112
79355,79591,31
79355,79590,34
79288,79390,2
79363,79363,937
79365,78865,153
78865,2631013,26
79371,78670,15
79343,78881,35
78881,80433,147
79372,79759,67
79373,77697,32
79373,77697,60
78911,80800,162
79238,80458,126
79381,78272,41
79382,79515,16
79382,2631015,225
79383,78894,49
79152,80561,137
79152,78761,50
79384,79257,147
79389,79390,13
79390,2631017,21
79391,80928,265
79391,79753,48
