start_point,end_point,length
1165,1017,62
1017,1242,28
1166,1888,167
1166,2608745,11
1173,1174,30
1173,1174,63
1174,1378,63
1175,1301,13
1185,882,110
1137,2608758,89
1197,976,17
1198,1241,58
1199,1198,7
1200,1313,103
1200,2969,206
1207,1231,18
1208,2608764,120
1209,2087,101
1209,3350,264
1209,2134,118
1217,1468,43
1220,1511,30
877,1650,56
1222,1542,36
1222,2608768,15
584,2514,207
1230,1231,244
1231,1291,61
1236,1632,65
1237,1236,282
1241,1321,80
1242,1243,26
1243,1464,205
1165,2608774,40
1245,2608775,61
1248,181,163
1250,181,383
1251,495,85
1252,495,397
1258,1199,83
1259,1260,18
1260,1259,18
1260,988,11
1272,1433,18
1273,1272,34
904,1396,13
1274,1173,174
1242,2608781,65
1280,1532,25
1281,1280,47
1282,1634,41
1291,1311,30
1299,1301,12
1301,2030,84
1302,863,35
1304,1418,17
988,1025,41
338,372,153
1305,338,22
1306,1281,15
887,1477,35
1311,1391,92
1311,1928,67
1312,1313,183
1313,1032,70
1318,1450,32
1319,1318,39
1321,1375,69
1322,372,152
1337,729,3
1337,2608798,68
1338,1319,16
1339,1319,52
1340,1081,33
456,1081,61
1341,1662,235
1343,1703,88
585,1471,42
1351,585,43
1352,2203,96
1352,1698,337
729,1435,46
1362,1772,105
1362,3831,347
1365,1197,27
1197,1586,27
1375,1338,17
1376,2608809,65
1377,2721,158
1377,1597,117
1378,1558,50
1391,1586,95
1391,1754,40
1394,1418,101
1396,2608819,68
1396,1542,52
1400,1884,65
1400,2608820,44
1403,1375,34
1407,901,63
1408,3614,247
1409,1408,151
1259,1706,38
662,2608827,101
1418,1426,56
1426,662,41
1430,456,121
1433,3383,223
1433,1273,28
1435,2608833,50
1444,2608839,31
1449,2608842,24
1449,983,36
1450,1508,16
1451,1450,55
1312,1032,248
1459,1698,84
1460,1784,43
1460,2608845,27
1464,2608846,13
1465,1521,36
1466,222,47
1467,222,44
1468,1033,37
1033,1721,56
1471,1351,50
1351,2165,95
1472,2073,67
1474,1474,56
1475,1474,176
1477,2608851,29
1477,2608852,64
1479,2844,156
1479,1494,4
983,2608855,24
1490,1491,83
1491,1018,65
1126,1491,15
1494,1610,60
1499,2608858,27
1508,1770,70
1509,2608864,17
1510,1126,120
1511,2326,92
1511,2220,208
1517,1518,148
1518,1995,66
1305,1567,129
1519,1305,66
1521,2608868,70
1531,1532,36
1532,2194,74
1533,1273,11
1542,2608880,37
1543,2608881,79
1543,1640,11
1544,1136,63
1545,1136,30
1551,1580,147
1558,2608887,46
1444,2688,195
1018,1725,170
1564,2608889,66
1565,2608891,75
1566,1165,10
1567,2608892,53
1568,1935,178
1533,2243,78
1576,1533,90
1578,2608898,30
1580,1720,72
1581,1468,297
1582,1475,323
1464,2608902,215
1586,1365,8
1509,2608903,68
1245,2608905,10
1597,2608911,25
1599,1600,105
1600,1599,25
1603,1302,35
1302,1782,44
1365,1564,125
1610,3078,166
1610,1707,78
